year,college_code,college_name,college_province,college_city,major_name,subject_requirement,subject_mode,subject_subjects,plan_count,duration,avg_score,seg1_min_score,seg1_min_rank,seg2_min_score,seg2_min_rank,data_quality,seg1_status,seg2_status,source_page
2025,0001,浙江大学,浙江,杭州,人文科学试验班,不限,none,,73,4,672,670,3672,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,新闻传播学类( 含智能与国际传播创新班),不限,none,,48,4,669,668,4278,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,外国语言文学类( 含涉外法治双学士学位项目),不限,none,,35,4,671,669,3936,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,社会科学试验班( 竺可桢学院人文社科实验班),不限,none,,5,4,691,690,459,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,社会科学试验班( 数字法治卓越班),不限,none,,4,4,687,686,830,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,社会科学试验班( 智能财务荣誉项目班),不限,none,,3,4,688,687,713,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,社会科学试验班( 含数字金融双学士学位项目),不限,none,,175,4,676,671,3222,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,社会科学试验班( 数字公共治理荣誉项目班),不限,none,,5,4,684,682,1277,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,理科试验班类( 含商务大数据分析双学士学位项目),物理&化学,all_of,"物理,化学",100,4,679,676,2272,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,理科试验班( 生命、环境、化学与地学),物理&化学,all_of,"物理,化学",137,4,669,667,4601,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,工科试验班,物理&化学,all_of,"物理,化学",412,4,676,673,2895,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,工科试验班( 智慧城市与建筑工程),物理&化学,all_of,"物理,化学",174,4,663,659,7296,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,工科试验班( 材料、化工与高分子),物理&化学,all_of,"物理,化学",175,4,670,668,4021,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,工科试验班( 信息),物理&化学,all_of,"物理,化学",232,4,685,681,1368,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,人工智能,物理&化学,all_of,"物理,化学",33,4,691,689,533,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,工科试验班( ＥＥ 类),物理&化学,all_of,"物理,化学",7,4,691,689,516,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,工科试验班( 智能光电芯片及系统创新班),物理&化学,all_of,"物理,化学",3,4,690,689,537,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,机器人工程( 荣誉项目班),物理&化学,all_of,"物理,化学",8,4,693,692,394,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,工科试验班( 竺可桢学院图灵班),物理&化学,all_of,"物理,化学",3,4,696,695,202,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,工科试验班( 智能制造与机器人创新班),物理&化学,all_of,"物理,化学",9,4,688,688,650,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,"工科试验班( 海洋,含智慧海洋卓越班)",物理&化学,all_of,"物理,化学",86,4,664,662,6085,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,"应用生物科学( 农学,含竺可桢学院新农科实验班)",物理&化学,all_of,"物理,化学",140,4,661,658,7462,,,OK,OK,NO_ADMISSION,12
2025,0001,浙江大学,浙江,杭州,应用生物科学( 生工食品),物理&化学,all_of,"物理,化学",21,4,668,668,4170,,,OK,OK,NO_ADMISSION,12
2025,0002,中国美术学院,浙江,杭州,艺术学理论类,不限,none,,45,4,613,605,46994,,,OK,OK,NO_ADMISSION,12
2025,0002,中国美术学院,浙江,杭州,建筑学,不限,none,,59,5,605,595,57573,,,OK,OK,NO_ADMISSION,12
2025,0002,中国美术学院,浙江,杭州,风景园林,不限,none,,15,4,618,611,40765,,,OK,OK,NO_ADMISSION,12
2025,0002,中国美术学院,浙江,杭州,工业设计,物理&化学,all_of,"物理,化学",75,4,603,595,57447,,,OK,OK,NO_ADMISSION,12
2025,0002,中国美术学院,浙江,杭州,艺术设计学,不限,none,,20,4,618,610,41405,,,OK,OK,NO_ADMISSION,12
2025,0002,中国美术学院,浙江,杭州,广播电视编导,不限,none,,12,4,618,613,38496,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,健行学院实验班( 人文社科),不限,none,,5,4,650,650,11299,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,健行学院实验班( 理工),物理&化学,all_of,"物理,化学",15,4,649,646,12883,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,健行学院实验班( 分子化学工程),物理&化学,all_of,"物理,化学",10,4,641,638,17716,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,健行学院实验班( 智能科学),物理&化学,all_of,"物理,化学",10,4,645,644,14263,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,健行学院实验班( 智慧能源创新),物理&化学,all_of,"物理,化学",10,4,643,641,15687,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,健行学院实验班( 智能生物制造),物理&化学,all_of,"物理,化学",10,4,639,638,17658,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,化工与制药类( 化学工程类),物理&化学,all_of,"物理,化学",106,4,615,611,40426,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,化学工程与工艺( 卓越工程师),物理&化学,all_of,"物理,化学",55,4,627,624,28134,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,安全工程,物理&化学,all_of,"物理,化学",16,4,618,616,34942,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,生物工程类,物理&化学,all_of,"物理,化学",46,4,615,611,40099,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,药学类( “2011 计划” 创新实验区),物理&化学,all_of,"物理,化学",159,4,614,611,40602,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,药学( 药学与计算机双学士学位),物理&化学,all_of,"物理,化学",30,4,624,622,29637,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,环境科学与工程类,物理&化学,all_of,"物理,化学",25,4,612,609,41908,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,材料类,物理&化学,all_of,"物理,化学",51,4,618,616,35181,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,食品科学与工程类,物理&化学,all_of,"物理,化学",35,4,612,610,41269,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,机械类,物理&化学,all_of,"物理,化学",144,4,622,620,31603,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,机械工程( 卓越工程师),物理&化学,all_of,"物理,化学",45,4,634,631,22520,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,机器人工程,物理&化学,all_of,"物理,化学",103,4,627,625,27224,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,电气类,物理&化学,all_of,"物理,化学",89,4,628,625,27271,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,电子信息类,物理&化学,all_of,"物理,化学",96,4,630,627,25665,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,计算机类,物理&化学,all_of,"物理,化学",224,4,631,628,25010,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,计算机科学与技术( 基础拔尖基地班),物理&化学,all_of,"物理,化学",30,4,641,640,16371,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,数据科学与大数据技术,物理&化学,all_of,"物理,化学",15,4,633,631,22596,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,智能建造,物理&化学,all_of,"物理,化学",30,4,619,618,33586,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,能源与环境系统工程,物理&化学,all_of,"物理,化学",10,4,623,620,31364,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,新能源科学与工程,物理&化学,all_of,"物理,化学",19,4,629,625,27334,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,空间信息与数字技术,物理&化学,all_of,"物理,化学",50,4,626,624,27851,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,物理学类( 物理与光电信息类),物理&化学,all_of,"物理,化学",36,4,621,619,32231,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,应用物理学( 基础拔尖基地班),物理&化学,all_of,"物理,化学",20,4,623,621,30708,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,数学类,物理&化学,all_of,"物理,化学",33,4,623,621,30608,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,信息与计算科学( 信计与自动化双学士学位),物理&化学,all_of,"物理,化学",30,4,636,633,20930,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,工商管理类,不限,none,,137,4,629,624,28140,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,管理科学与工程类,物理,all_of,物理,42,4,617,615,36254,,,OK,OK,NO_ADMISSION,12
2025,0003,浙江工业大学,浙江,杭州,金融学,不限,none,,69,4,630,626,26711,,,OK,OK,NO_ADMISSION,13
