year,college_code,college_name,college_province,college_city,major_name,subject_requirement,subject_mode,subject_subjects,plan_count,duration,avg_score,seg1_min_score,seg1_min_rank,seg2_min_score,seg2_min_rank,data_quality,seg1_status,seg2_status,source_page
2024,0001,浙江大学,浙江,杭州,人文科学试验班,不限,none,,76,4,676,672,4221,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,新闻传播学类,不限,none,,51,4,671,670,4905,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,外国语言文学类( 含涉外法治双学士学位项目),不限,none,,28,4,673,671,4562,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,社会科学试验班( 竺可桢学院人文社科实验班),不限,none,,5,4,695,694,639,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,社会科学试验班( 数字法治卓越班),不限,none,,4,4,689,688,1172,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,社会科学试验班( 智能财务荣誉项目班),不限,none,,3,4,693,692,840,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,社会科学试验班( 含数字金融双学士学位项目),不限,none,,169,4,678,674,3668,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,社会科学试验班( 数字公共治理荣誉项目班),不限,none,,5,4,687,683,1925,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,理科试验班类( 含商务大数据分析双学士学位项目),物理&化学,all_of,"物理,化学",105,4,686,683,1922,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,理科试验班( 生命、环境、化学与地学),物理&化学,all_of,"物理,化学",138,4,676,673,3865,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,工科试验班,物理&化学,all_of,"物理,化学",404,4,681,678,2830,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,工科试验班( 智慧城市与建筑工程),物理&化学,all_of,"物理,化学",171,5,668,665,6212,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,工科试验班( 材料、化工与高分子),物理&化学,all_of,"物理,化学",176,4,674,672,4228,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,工科试验班( 信息),物理&化学,all_of,"物理,化学",246,4,692,687,1273,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,人工智能( 荣誉项目班),物理&化学,all_of,"物理,化学",2,4,702,701,227,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,机器人工程( 荣誉项目班),物理&化学,all_of,"物理,化学",2,4,700,700,259,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,工科试验班( 竺可桢学院图灵班),物理&化学,all_of,"物理,化学",7,4,703,702,200,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,"工科试验班( 海洋,含智慧海洋卓越班)",物理&化学,all_of,"物理,化学",95,4,667,664,6625,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,"应用生物科学( 农学,含新农科实验班)",物理&化学,all_of,"物理,化学",159,4,666,664,6791,,,OK,OK,NO_ADMISSION,12
2024,0001,浙江大学,浙江,杭州,应用生物科学( 生工食品),物理&化学,all_of,"物理,化学",24,4,672,671,4484,,,OK,OK,NO_ADMISSION,12
2024,0002,中国美术学院,浙江,杭州,艺术学理论类,不限,none,,40,4,625,616,37078,,,OK,OK,NO_ADMISSION,12
2024,0002,中国美术学院,浙江,杭州,风景园林,不限,none,,15,4,629,623,31030,,,OK,OK,NO_ADMISSION,12
2024,0002,中国美术学院,浙江,杭州,工业设计,物理&化学,all_of,"物理,化学",37,4,608,599,54006,,,OK,OK,NO_ADMISSION,12
2024,0002,中国美术学院,浙江,杭州,艺术设计学,不限,none,,20,4,624,619,34358,,,OK,OK,NO_ADMISSION,12
2024,0002,中国美术学院,浙江,杭州,广播电视编导,不限,none,,32,4,618,614,39304,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,健行学院实验班( 人文社科),不限,none,,5,4,654,652,11812,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,健行学院实验班( 理工),物理&化学,all_of,"物理,化学",15,4,650,648,13353,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,健行学院实验班( 分子化学工程),物理&化学,all_of,"物理,化学",10,4,641,639,18758,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,健行学院实验班( 智能科学),物理&化学,all_of,"物理,化学",10,4,647,646,14436,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,健行学院实验班( 智慧能源创新),物理&化学,all_of,"物理,化学",10,4,645,644,15941,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,健行学院实验班( 智能生物制造),物理&化学,all_of,"物理,化学",10,4,642,640,18177,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,化工与制药类( 化学工程类),物理&化学,all_of,"物理,化学",144,4,611,605,47897,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,化学工程与工艺( 卓越工程师),物理&化学,all_of,"物理,化学",30,4,628,625,29068,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,安全工程,物理&化学,all_of,"物理,化学",16,4,617,616,37189,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,生物工程类,物理&化学,all_of,"物理,化学",68,4,614,609,43601,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,药学类( “2011 计划” 创新实验区),物理&化学,all_of,"物理,化学",158,4,615,610,42578,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,药学( 药学与计算机双学士学位),物理&化学,all_of,"物理,化学",25,4,628,624,29689,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,环境科学与工程类,物理&化学,all_of,"物理,化学",40,4,608,604,48846,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,材料类,物理&化学,all_of,"物理,化学",51,4,615,611,41834,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,食品科学与工程类,物理&化学,all_of,"物理,化学",50,4,610,606,47472,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,机械类,物理&化学,all_of,"物理,化学",138,4,620,618,35754,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,机械工程( 卓越工程师),物理&化学,all_of,"物理,化学",30,4,633,629,25756,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,机器人工程,物理&化学,all_of,"物理,化学",58,4,628,626,28315,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,电气类,物理&化学,all_of,"物理,化学",102,4,628,625,29455,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,电子信息类,物理&化学,all_of,"物理,化学",74,4,631,628,26649,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,计算机类,物理&化学,all_of,"物理,化学",202,4,633,630,25100,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,计算机科学与技术( 基础拔尖基地班),物理&化学,all_of,"物理,化学",25,4,645,643,16371,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,数据科学与大数据技术,物理&化学,all_of,"物理,化学",13,4,633,631,24260,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,土木类,物理&化学,all_of,"物理,化学",67,4,604,599,54497,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,智能建造,物理&化学,all_of,"物理,化学",17,4,623,620,33708,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,空间信息与数字技术,物理&化学,all_of,"物理,化学",25,4,629,627,27647,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,物理学类( 物理与光电信息类),物理&化学,all_of,"物理,化学",31,4,622,619,34090,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,应用物理学( 基础拔尖基地班),物理&化学,all_of,"物理,化学",20,4,625,621,32640,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,数学类,物理&化学,all_of,"物理,化学",33,4,627,623,30999,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,信息与计算科学( 信计与自动化双学士学位),物理&化学,all_of,"物理,化学",20,4,636,632,23445,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,工商管理类,不限,none,,126,4,629,626,28623,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,管理科学与工程类,物理,all_of,物理,45,4,620,616,37163,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,金融学,不限,none,,71,4,631,628,27094,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,国际经济与贸易,不限,none,,42,4,632,629,26162,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,应用心理学,不限,none,,28,4,628,624,29917,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,英语,不限,none,,112,4,621,617,36481,,,OK,OK,NO_ADMISSION,12
2024,0003,浙江工业大学,浙江,杭州,汉语言文学,不限,none,,76,4,637,635,21374,,,OK,OK,NO_ADMISSION,13
2024,0003,浙江工业大学,浙江,杭州,新闻传播学类,不限,none,,89,4,630,626,28230,,,OK,OK,NO_ADMISSION,13
2024,0003,浙江工业大学,浙江,杭州,建筑类,不限,none,,104,5,620,616,37091,,,OK,OK,NO_ADMISSION,13
2024,0003,浙江工业大学,浙江,杭州,工业设计,物理&化学,all_of,"物理,化学",35,4,621,619,34374,,,OK,OK,NO_ADMISSION,13
2024,0003,浙江工业大学,浙江,杭州,法学,不限,none,,82,4,642,640,18495,,,OK,OK,NO_ADMISSION,13
2024,0003,浙江工业大学,浙江,杭州,公共管理类,不限,none,,73,4,624,622,32159,,,OK,OK,NO_ADMISSION,13
2024,0003,浙江工业大学,浙江,杭州,软件工程( 中外合作办学),物理&化学,all_of,"物理,化学",56,4,618,615,37805,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,文科试验班类( 中文),不限,none,,30,4,656,654,10891,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,理科试验班类( 数学),物理&化学,all_of,"物理,化学",30,4,644,638,19242,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,理科试验班类( 物理),物理&化学,all_of,"物理,化学",30,4,635,629,25706,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,理科试验班类( 化学),物理&化学,all_of,"物理,化学",30,4,629,623,30906,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,理科试验班类( 计算机),物理&化学,all_of,"物理,化学",30,4,620,617,35906,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,理科试验班类( 生物),物理&化学,all_of,"物理,化学",30,4,612,582,73899,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,社会科学试验班( 历史),历史,all_of,历史,20,4,651,650,12749,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,工商管理类,不限,none,,160,4,611,608,44930,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,经济与贸易类,不限,none,,65,4,608,607,45991,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,法学,不限,none,,93,4,632,630,25620,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,行政管理,不限,none,,30,4,616,613,40270,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,思想政治教育( 师范),思想政治,all_of,思想政治,27,4,647,645,15498,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,小学教育( 师范),不限,none,,47,4,640,638,19907,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,教育技术学( 师范),物理,all_of,物理,40,4,605,593,61003,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,小学教育( 中外合作办学) ( 师范),不限,none,,25,4,616,612,41446,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,应用心理学( 师范),物理,all_of,物理,62,4,596,555,105051,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,学前教育( 师范),不限,none,,72,4,608,603,50104,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,汉语言文学( 师范),不限,none,,78,4,650,647,14084,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,历史学( 师范),历史,all_of,历史,54,4,645,643,16708,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,英语( 师范),不限,none,,111,4,634,628,27087,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,翻译,不限,none,,40,4,618,612,41200,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,日语,不限,none,,10,4,611,608,45076,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,法语,不限,none,,20,4,613,609,43928,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,戏剧影视文学,不限,none,,31,4,609,603,50181,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,工业设计,物理&化学,all_of,"物理,化学",13,4,596,592,61718,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,数学与应用数学( 师范),物理&化学,all_of,"物理,化学",49,4,635,630,24940,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,信息与计算科学,物理&化学,all_of,"物理,化学",15,4,612,610,43049,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,计算机类,物理&化学,all_of,"物理,化学",103,4,606,603,49927,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,软件工程( 中外合作办学),物理&化学,all_of,"物理,化学",18,4,597,593,61002,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,人工智能( 智能精准诊疗),物理&化学,all_of,"物理,化学",22,4,614,612,40679,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,智能医学工程,物理&化学,all_of,"物理,化学",20,4,603,596,57791,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,物理学( 师范),物理&化学,all_of,"物理,化学",94,4,613,605,47911,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,材料科学与工程,物理&化学,all_of,"物理,化学",10,4,596,593,60623,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,光电信息科学与工程,物理&化学,all_of,"物理,化学",30,4,599,597,56719,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,电子信息工程,物理&化学,all_of,"物理,化学",40,4,603,600,53508,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,通信工程,物理&化学,all_of,"物理,化学",16,4,599,597,56401,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,化学( 师范),物理&化学,all_of,"物理,化学",42,4,621,614,38999,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,药学,物理&化学,all_of,"物理,化学",30,4,593,586,68686,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,生物科学( 师范),物理&化学,all_of,"物理,化学",68,4,592,495,174212,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,生物技术( 制药),物理&化学,all_of,"物理,化学",29,4,583,551,109620,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,科学教育( 师范),物理&化学,all_of,"物理,化学",77,4,596,577,78999,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,地理科学( 师范),地理,all_of,地理,52,4,643,640,18260,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,环境科学与工程,物理&化学,all_of,"物理,化学",45,4,586,578,77784,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,城乡规划,地理,all_of,地理,30,5,612,608,44956,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,地理信息科学,地理,all_of,地理,25,4,630,627,27245,,,OK,OK,NO_ADMISSION,13
2024,0004,浙江师范大学,浙江,金华,智能制造工程,物理&化学,all_of,"物理,化学",65,4,597,594,59847,,,OK,OK,NO_ADMISSION,13
