college_code,college_name,province,city,source_page
0001,浙江大学,浙江,杭州,379
0002,中国美术学院,浙江,杭州,331
0003,浙江工业大学,浙江,杭州,374
0004,浙江师范大学,浙江,金华,379
0005,宁波大学,浙江,宁波,379
0006,杭州电子科技大学,浙江,杭州,331
0007,浙江工商大学,浙江,杭州,331
0008,浙江理工大学,浙江,杭州,373
0011,浙江农林大学,浙江,杭州,331
0013,中国计量大学,浙江,杭州,331
0014,浙江万里学院,浙江,宁波,331
0015,浙江科技大学,浙江,杭州,373
0016,浙江财经大学,浙江,杭州,377
0017,嘉兴大学,浙江,嘉兴,379
0018,浙大城市学院,浙江,杭州,331
0019,浙大宁波理工学院,浙江,宁波,332
0020,杭州师范大学,浙江,杭州,379
0021,湖州师范学院,浙江,湖州,379
0022,绍兴文理学院,浙江,绍兴,379
0023,台州学院,浙江,台州,379
0024,温州大学,浙江,温州,379
0025,浙江外国语学院,浙江,杭州,366
0027,浙江传媒学院,浙江,杭州,374
0029,衢州学院,浙江,衢州,366
0038,丽水学院,浙江,丽水,379
0041,浙江艺术职业学院,浙江,杭州,374
0043,浙江工商职业技术学院,浙江,宁波,332
0044,浙江工贸职业技术学院,浙江,温州,332
0045,浙江机电职业技术大学,浙江,杭州,332
0046,浙江商业职业技术学院,浙江,杭州,333
0049,浙江旅游职业学院,浙江,杭州,379
0050,浙江金融职业学院,浙江,杭州,333
0051,浙江经济职业技术学院,浙江,杭州,333
0052,浙江建设职业技术学院,浙江,杭州,333
0058,浙江纺织服装职业技术学院,浙江,宁波,373
0060,杭州职业技术学院,浙江,杭州,333
0061,金华职业技术大学,浙江,金华,379
0062,义乌工商职业技术学院,浙江,义乌,373
0063,宁波职业技术学院,浙江,宁波,333
0064,温州职业技术学院,浙江,温州,333
0069,嘉兴职业技术学院,浙江,嘉兴,333
0070,湖州职业技术学院,浙江,湖州,333
0071,衢州职业技术学院,浙江,衢州,379
0072,丽水职业技术学院,浙江,丽水,379
0076,杭州科技职业技术学院,浙江,杭州,334
0106,浙江同济科技职业学院,浙江,杭州,334
0113,宁波城市职业技术学院,浙江,宁波,334
0121,湖州学院,浙江,湖州,379
0123,温州理工学院,浙江,温州,334
0124,宁波幼儿师范高等专科学校,浙江,宁波,362
0125,嘉兴南湖学院,浙江,嘉兴,335
0128,浙江邮电职业技术学院,浙江,绍兴,335
0129,浙江农业商贸职业学院,浙江,绍兴,335
0198,浙江音乐学院,浙江,杭州,360
