college_code,college_name,years,year_count
3350,江苏卫生健康职业学院,"2021,2022,2024,2026",4
3351,南京城市职业学院,"2021,2022,2024,2026",4
3352,江苏旅游职业学院,"2021,2026",2
3353,连云港师范高等专科学校,"2021,2022,2024",3
3353,连云港师范学院,2026,1
3355,苏州工业职业技术学院,"2024,2026",2
3356,徐州幼儿师范高等专科学校,"2022,2024",2
3357,江苏医药职业学院,"2024,2026",2
3358,宿迁学院,"2024,2026",2
3360,江苏第二师范学院,2024,1
3361,南通师范高等专科学校,"2024,2026",2
3362,盐城幼儿师范高等专科学校,"2024,2026",2
3364,常州铁道职业技术学院,2026,1
3401,安徽财经大学,"2021,2022,2024,2026",4
3402,蚌埠工商学院(民办),"2021,2022",2
3402,蚌埠工商学院,"2024,2026",2
3404,安徽大学(一流学科建设高校),2021,1
3404,安徽大学（一流学科建设高校）,2022,1
3404,安徽大学,"2024,2026",2
3406,安徽工程大学,"2021,2022,2024,2026",4
3407,安徽信息工程学院(民办),"2021,2022",2
3407,安徽信息工程学院,"2024,2026",2
3409,安徽工商职业学院,2021,1
3410,安徽工业大学,"2021,2022,2024,2026",4
3411,马鞍山学院(民办),"2021,2022",2
3411,马鞍山学院,"2024,2026",2
3415,安徽机电职业技术学院,2021,1
3416,安徽建筑大学,"2021,2022,2024,2026",4
3417,合肥城市学院(民办),"2021,2022",2
3417,合肥城市学院,"2024,2026",2
3419,安徽警官职业学院,"2022,2024,2026",3
3420,安徽科技学院,"2021,2022,2024",3
3420,安徽科技工程大学,2026,1
3421,安徽理工大学,"2021,2022,2024,2026",4
3422,安徽农业大学,"2021,2022,2024,2026",4
3423,安徽应用技术职业大学,2026,1
3424,安徽审计职业学院,"2024,2026",2
3425,安徽师范大学,"2021,2022,2024,2026",4
3426,安徽师范大学皖江学院(独立学院),"2021,2022",2
3426,芜湖学院,"2024,2026",2
3429,安徽医科大学,"2021,2022,2024,2026",4
3430,安徽医科大学临床医学院,"2024,2026",2
3431,安徽医学高等专科学校,"2021,2022,2024",3
3431,安徽第二医学院,2026,1
3432,安徽职业技术学院,2022,1
3432,安徽职业技术大学,2026,1
3434,安徽中医药大学,"2021,2022,2024,2026",4
3435,安徽中医药高等专科学校,"2021,2022,2024,2026",4
3436,安庆师范大学,"2021,2022,2024,2026",4
3437,蚌埠学院,"2021,2022,2024,2026",4
3438,蚌埠医学院,"2021,2022",2
3438,蚌埠医科大学,"2024,2026",2
3439,巢湖学院,"2021,2022,2024,2026",4
3440,合肥职业技术学院,"2021,2022,2024,2026",4
3441,池州学院,"2021,2022,2024,2026",4
3442,滁州学院,"2021,2022,2024,2026",4
3443,阜阳师范大学,"2021,2022,2024,2026",4
3444,阜阳师范大学信息工程学院(独立学院),2021,1
3444,阜阳理工学院,"2024,2026",2
3445,合肥工业大学(一流学科建设高校),2021,1
3445,合肥工业大学（一流学科建设高校）,2022,1
3445,合肥工业大学,"2024,2026",2
3446,合肥学院,"2021,2022",2
3446,合肥大学,"2024,2026",2
3447,皖江工学院(民办),"2021,2022",2
3447,皖江工学院,"2024,2026",2
3448,淮北师范大学,"2021,2022,2024,2026",4
3449,淮北职业技术学院,"2021,2022,2024,2026",4
3450,淮南联合大学,"2021,2022,2024,2026",4
3451,淮南师范学院,"2021,2022,2024,2026",4
3453,皖南医学院,"2021,2022,2024",3
3453,皖南医科大学,2026,1
3454,芜湖职业技术学院,"2021,2022,2024",3
3454,芜湖职业技术大学,2026,1
3455,中国科学技术大学(一流大学建设高校),2021,1
3455,中国科学技术大学（一流大学建设高校）,2022,1
3455,中国科学技术大学,"2024,2026",2
3456,黄山学院,"2021,2022,2024,2026",4
3457,合肥工业大学(宣城校区)(一流学科建设高校),2021,1
3457,合肥工业大学(宣城校区)（一流学科建设高校）,2022,1
3457,合肥工业大学(宣城校区),"2024,2026",2
3458,安徽大学江淮学院(独立学院),"2021,2022",2
3461,黄山职业技术学院,"2022,2024,2026",3
3473,合肥师范学院,2026,1
3474,安徽交通职业技术学院,"2022,2024,2026",3
3475,合肥幼儿师范高等专科学校,"2022,2024,2026",3
3477,皖西卫生职业学院,"2021,2022,2024",3
3478,铜陵职业技术学院,"2022,2024,2026",3
3481,安徽新闻出版职业技术学院,2026,1
3482,安徽粮食工程职业学院,2022,1
3483,安徽卫生健康职业学院,"2022,2024",2
3487,安徽新华学院,"2024,2026",2
3501,福建电力职业技术学院,"2021,2022,2024,2026",4
3503,福建工程学院,"2021,2022",2
3503,福建理工大学,"2024,2026",2
3504,福建船政交通职业学院,2026,1
3507,福建农林大学,"2021,2022,2024,2026",4
3511,福建师范大学,"2021,2022,2024,2026",4
3512,福建师范大学协和学院(独立学院),"2021,2022",2
3512,福建师范大学协和学院,"2024,2026",2
3515,福建医科大学,"2021,2022,2024,2026",4
3516,福建中医药大学,"2021,2022,2024,2026",4
3517,福州大学(一流学科建设高校),2021,1
3517,福州大学（一流学科建设高校）,2022,1
3517,福州大学,"2024,2026",2
3518,阳光学院(民办),"2021,2022",2
3518,阳光学院,"2024,2026",2
3519,福州大学至诚学院(独立学院),"2021,2022",2
3519,福州大学至诚学院,"2024,2026",2
3520,福州理工学院(民办),"2021,2022",2
3520,福州理工学院,"2024,2026",2
3521,福州外语外贸学院(民办),"2021,2022",2
3521,福州外语外贸学院,"2024,2026",2
3522,福州职业技术学院,"2021,2024",2
3522,福州职业技术大学,2026,1
3523,华侨大学,"2021,2022,2024,2026",4
3524,集美大学,"2021,2022,2024,2026",4
3526,集美大学诚毅学院(独立学院),"2021,2022",2
3526,集美大学诚毅学院,"2024,2026",2
3528,龙岩学院,"2021,2022,2024,2026",4
